SZ000968,1.05亿
SZ000969,2.64亿
SZ000970,-13.34亿
SZ000971,-2.39亿
SZ000972,-1.2亿
SZ000973,2.1亿
SZ000975,12.76亿
SZ000976,13.27亿
SZ000977,-2.28百亿
SZ000978,-1.02亿
SZ000980,-13.54亿
SZ000981,-12.13亿
SZ000982,-1.64亿
SZ000983,1.14百亿
SZ000985,0.17亿
SZ000988,-1.84亿
SZ000989,2.76亿
SZ000990,11.37亿
SZ000993,7.18亿
SZ000995,-0.12亿
SZ000997,10.02亿
SZ000998,8.48亿
SZ002001,15.37亿
SZ002002,-1.14亿
SZ002003,1.3亿
SZ002004,2.6亿
SZ002005,-0.32亿
SZ002006,2.13亿
SZ002007,4.74亿
SZ002008,-3.16亿
SZ002009,-2.59亿
SZ002010,-19.01亿
SZ002011,4.7亿
SZ002012,2.47亿
SZ002013,40.42亿
SZ002015,2.44亿
SZ002016,-3.51亿
SZ002017,1.24亿
SZ002019,-4.19亿
SZ002020,-2.58亿
SZ002021,1.62亿
SZ002022,2.33亿
SZ002025,0.6亿
SZ002026,-0.23亿
SZ002028,-0.41亿
SZ002029,3.9亿
SZ002030,26.82亿
SZ002031,-2.27亿
SZ002032,16.29亿
SZ002033,-2.27亿
SZ002034,-0.6亿
SZ002035,2.19亿
SZ002036,-3.29亿
SZ002037,-3.13亿
SZ002038,2.31亿
SZ002040,2.46亿
SZ002041,1.26亿
SZ002042,-0.88亿
SZ002043,5.86亿
SZ002044,18.7亿
SZ002045,-2.76亿
SZ002046,1.39亿
SZ002047,-4.41亿
SZ002048,12.7亿
SZ002049,6.67亿
SZ002050,-6.17亿
SZ002051,-1.63百万
SZ002052,-0.59亿
SZ002053,-1.92百万
SZ002054,-9.62亿
SZ002055,3.04亿
SZ002056,0.11亿
SZ002057,-1.93亿
SZ002058,-0.16亿
SZ002059,-9.42亿
SZ002060,2.01亿
SZ002062,6.18亿
SZ002063,-0.44亿
SZ002064,35.98亿
SZ002066,1.95亿
SZ002068,-1.55亿
SZ002069,0.63亿
SZ002070,-0.47亿
SZ002072,--
SZ002074,-58.23亿
SZ002075,17.93亿
SZ002076,1.56百万
SZ002077,1.26亿
SZ002079,-1.75亿
SZ002080,6.03亿
SZ002081,10.95亿
SZ002082,-0.7亿
SZ002083,-0.24亿
SZ002084,-2.12亿
SZ002085,1.04亿
SZ002086,-0.13亿
SZ002087,0.82亿
SZ002088,4.05亿
SZ002089,1.52亿
SZ002091,-2.52亿
SZ002092,8.62亿
SZ002093,-0.61亿
SZ002094,-1.9亿
SZ002095,-0.86亿
SZ002096,-1.08亿
SZ002097,-19.18亿
SZ002098,0.64亿
SZ002099,-1.07亿
SZ002100,-15.42亿
SZ002101,3.22亿
SZ002102,0.97亿
SZ002103,0.36亿
SZ002104,-9.21百万
SZ002106,5.05亿
SZ002108,0.99亿
SZ002109,7.56亿
SZ002110,12.64亿
SZ002111,-1.0亿
SZ002112,-0.12亿
SZ002113,80.14万
SZ002114,-0.3亿
SZ002116,3.69亿
SZ002117,1.37亿
SZ002118,-7.28亿
SZ002119,1.01亿
SZ002120,-40.04亿
SZ002121,-2.05亿
SZ002123,-4.15亿
SZ002124,-33.86亿
SZ002127,0.12亿
SZ002128,42.01亿
SZ002129,-45.53亿
SZ002130,3.36亿
SZ002131,-1.09亿
SZ002132,-13.22亿
SZ002133,-12.71亿
SZ002135,-9.38亿
SZ002136,1.33亿
SZ002138,-4.6亿
SZ002139,-8.16亿
SZ002140,3.2亿
SZ002142,9.61百亿
SZ002144,-0.53亿
SZ002145,9.6亿
SZ002146,2.34百亿
SZ002147,4.28亿
SZ002150,-0.45亿
SZ002151,-2.05亿
SZ002152,10.64亿
SZ002154,3.38亿
SZ002155,1.27亿
SZ002156,-42.12亿
SZ002157,-50.45亿
SZ002158,2.23亿
SZ002160,-2.29亿
SZ002161,-0.27亿
SZ002162,0.48亿
SZ002163,-1.5亿
SZ002164,0.58亿
SZ002165,3.6亿
SZ002166,-0.74亿
SZ002167,0.59亿
SZ002169,-0.33亿
SZ002170,-2.67亿
SZ002171,-10.09亿
SZ002172,-8.64亿
SZ002173,-1.23亿
SZ002174,0.74亿
SZ002175,-0.11亿
SZ002176,6.76亿
SZ002177,-0.75亿
SZ002178,-0.24亿
SZ002180,16.53亿
SZ002182,-6.84亿
SZ002183,5.06亿
SZ002184,1.14亿
SZ002185,-28.12亿
SZ002186,-1.28亿
SZ002187,4.04亿
SZ002188,-3.17百万
SZ002189,3.42亿
SZ002190,-0.22亿
SZ002191,4.97亿
SZ002192,0.42亿
